complaint_id,date_received,province,district,operator,service_type,complaint_category,channel,description,customer_age,customer_gender,status,resolution_days,satisfaction_score
RURA-ICT-00570,2023-11-20,Northern Province,Burera,mtn rwanda,Mobile Money,Billing Dispute,Call Center,Billed for services not subscribed to.,74,Female,resolved,26,
RURA-ICT-00172,17-Oct-2024,Northern Province,Gicumbi,REG ICT,Fixed Internet,Mobile Money Transaction Failure,Social Media,No network coverage since yesterday evening.,41,Other,OPEN,,4
RURA-ICT-00402,29-Jan-2024,Eastern Province,Kirehe,BSC,Fixed Voice,Poor Network Quality,USSD,Customer reports repeated call drops in Kirehe.,84,female,Closed,9,1
RURA-ICT-00269,2024-05-01,Northern Province,Burera,Liquid Telecom,Mobile Money,Mobile Money Fraud/Scam,Walk-in,Received unsolicited promotional SMS despite opt-out request.,60,Other,In Progress,20,5
RURA-ICT-00141,23/02/2024,Western Province,rubavu,M.T.N Rwanda,Mobile Voice,Poor Network Quality,Social Media,Received suspicious SMS asking for mobile money PIN.,69,female,Open,,4
RURA-ICT-00763,15-Nov-2024,Northern Province,Gicumbi,broadband systems,Fixed Voice,Billing Dispute,Email,Received suspicious SMS asking for mobile money PIN.,66,female,Closed,9,
RURA-ICT-00393,02/05/2024,Southern Province,Huye,MTN Rwanda,Mobile Data/Internet,Unsolicited SMS/Spam,Social Media,Received suspicious SMS asking for mobile money PIN.,65,Other,Pending,,
RURA-ICT-00228,17/02/2024,Southern Province,Nyaruguru,broadband systems,SMS,Unsolicited SMS/Spam,Call Center,Received suspicious SMS asking for mobile money PIN.,67,M,OPEN,,3
RURA-ICT-00883,12-Dec-2023,Western Province,Karongi,AIRTEL,Mobile Data/Internet,Mobile Money Fraud/Scam,Web Portal,SIM card registered under wrong national ID.,36,Male,Pending,,0
RURA-ICT-00813,30/04/2023,Eastern Province,Kirehe,MTN,Fixed Voice,Mobile Money Fraud/Scam,Web Portal,Internet speed far below advertised package.,54,Female,open,,1
RURA-ICT-00618,07-Jan-2023,Northern Province,Gicumbi,REG-ICT,Fixed Internet,Slow Internet Speed,Social Media,SIM card registered under wrong national ID.,61,F,Open,,
RURA-ICT-00283,2023-02-17,Southern Province,Kamonyi,MTN,SMS,SIM Registration Issue,Social Media,Customer care line not answering after multiple attempts.,57,F,Pending,,5
RURA-ICT-00523,22/07/2024,Kigali City,Kicukiro,Airtel Rwanda,Mobile Money,Customer Care Unresponsive,USSD,Mobile money transfer deducted but recipient did not receive funds.,68,Other,open,,
RURA-ICT-00425,08-15-2024,Southern Province,Kamonyi,MTN Rwanda,Mobile Data/Internet,Customer Care Unresponsive,Web Portal,Internet speed far below advertised package.,57,Other,Resolved,22,5
RURA-ICT-00005,2024-11-30,Southern Province,Ruhango,Liquid Telecom Rwanda,Mobile Money,SIM Registration Issue,Walk-in,,37,Female,closed,12,
RURA-ICT-00427,2023-04-30,Northern Province,Gakenke,Liquid Telecom Rwanda,Mobile Data/Internet,Service Activation Delay,Walk-in,Mobile money transfer deducted but recipient did not receive funds.,32,Other,OPEN,,
RURA-ICT-00293,09-18-2024,Eastern Province,Gatsibo,REG ICT,Mobile Money,Customer Care Unresponsive,Social Media,SIM card registered under wrong national ID.,66,Female,In Progress,25,2
RURA-ICT-00632,2023-08-12,Eastern Province,Kirehe,REG ICT,Mobile Data/Internet,Billing Dispute,Call Center,Delay of over a week in activating new fixed internet line.,81,Other,OPEN,,5
RURA-ICT-00773,21-Apr-2023,Western Province,Rusizi,Broadband Systems Corporation,Fixed Internet,Data Bundle Deduction Issue,Email,,19,,pending ,,4
RURA-ICT-00213,07-01-2023,Western Province,Karongi,mtn rwanda,SMS,Mobile Money Transaction Failure,Walk-in,,,Male,Resolved,29,
RURA-ICT-00323,02/11/2023,Southern Province,Muhanga,M.T.N Rwanda,SMS,Poor Network Quality,Email,Billed for services not subscribed to.,22,Female,Pending,,2
RURA-ICT-00753,2024-08-28,Northern Province,Rulindo,REG-ICT,Fixed Voice,Mobile Money Fraud/Scam,Call Center,SIM card registered under wrong national ID.,21,F,Resolved,11,4
RURA-ICT-00051,04/12/2024,Eastern Province,Ngoma,MTN,Mobile Money,Mobile Money Fraud/Scam,Web Portal,Complainant charged twice for the same data bundle.,41,,Pending,,
RURA-ICT-00835,07-Dec-2024,Eastern Province,Nyagatare,airtel rwanda,Fixed Voice,Billing Dispute,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,50,male,Closed,6,1
RURA-ICT-00333,03-29-2024,Northern Province,Gakenke,broadband systems,Mobile Money,Service Activation Delay,Walk-in,Delay of over a week in activating new fixed internet line.,57,female,pending ,,4
RURA-ICT-00607,07/02/2023,Western Province,Rutsiro,REG-ICT,Fixed Voice,Poor Network Quality,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,43,Male,Open,,2
RURA-ICT-00028,05-08-2023,Northern Province,Gicumbi,Broadband Systems Corporation,Fixed Voice,SIM Registration Issue,USSD,Billed for services not subscribed to.,68,female,Resolved,9,2
RURA-ICT-00760,03-17-2023,Northern Province,Gakenke,Liquid Telecom,Fixed Internet,Service Activation Delay,Web Portal,Billed for services not subscribed to.,20,,pending ,,
RURA-ICT-00621,17-May-2023,Eastern Province,Rwamagana,liquid telecom,Mobile Data/Internet,Poor Network Quality,Walk-in,Customer reports repeated call drops in Rwamagana.,58,M,closed,6,3
RURA-ICT-00224,30-Aug-2023,Northern Province,Gakenke,MTN RWANDA,SMS,Data Bundle Deduction Issue,USSD,Delay of over a week in activating new fixed internet line.,66,M,Pending,,5
RURA-ICT-00754,2024-08-26,Eastern Province,Gatsibo,BSC,Fixed Internet,Billing Dispute,Web Portal,,16,female,OPEN,,4
RURA-ICT-00744,2023-12-28,Kigali City,Nyarugenge,Airtel Rwanda,Fixed Voice,Mobile Money Fraud/Scam,Email,Billed for services not subscribed to.,60,F,Open,,
RURA-ICT-00332,10-15-2024,Western Province,Ngororero,Airtel,SMS,Customer Care Unresponsive,Social Media,,70,F,open,,
RURA-ICT-00808,2024-01-09,Kigali City,Nyarugenge,broadband systems,Mobile Money,Unsolicited SMS/Spam,Web Portal,Received unsolicited promotional SMS despite opt-out request.,70,,Resolved,2,
RURA-ICT-00839,2024-03-26,Western Province,Rusizi,Liquid Telecom,Fixed Voice,Customer Care Unresponsive,USSD,Billed for services not subscribed to.,39,Other,closed,999,2
RURA-ICT-00370,2023-11-19,Western Province,Nyabihu,AIRTEL,Mobile Data/Internet,Slow Internet Speed,Call Center,,27,Other,closed,11,3
RURA-ICT-00285,2023-08-24,Eastern Province,Bugesera,broadband systems,Mobile Voice,Customer Care Unresponsive,Walk-in,No network coverage since yesterday evening.,51,Female,Pending,,
RURA-ICT-00431,2024-04-01,Kigali City,Nyarugenge,Airtel,Mobile Money,Mobile Money Transaction Failure,Call Center,Received unsolicited promotional SMS despite opt-out request.,66,Female,open,,5
RURA-ICT-00614,2023-09-03,Northern Province,Gicumbi,mtn rwanda,Fixed Internet,SIM Registration Issue,Call Center,Complainant charged twice for the same data bundle.,23,F,open,,5
RURA-ICT-00587,2023-01-08,Southern Province,Huye,BSC,Fixed Voice,Poor Network Quality,Call Center,Received suspicious SMS asking for mobile money PIN.,-5,,Open,,3
RURA-ICT-00361,02-26-2023,Western Province,Nyamasheke,,SMS,Mobile Money Transaction Failure,Call Center,No network coverage since yesterday evening.,,M,OPEN,,5
RURA-ICT-00265,03-02-2024,Western Province,Karongi,airtel rwanda,Fixed Voice,Service Activation Delay,Call Center,Internet speed far below advertised package.,22,M,resolved,6,4
RURA-ICT-00698,2023-04-22,Eastern Province,Kayonza,REG ICT,SMS,Slow Internet Speed,Social Media,Internet speed far below advertised package.,30,Female,pending ,,
RURA-ICT-00356,2024-04-07,Northern Province,Rulindo,liquid telecom,Mobile Voice,Customer Care Unresponsive,Walk-in,Billed for services not subscribed to.,30,Male,Pending,,5
RURA-ICT-00309,07-27-2024,Southern Province,Ruhango,MTN RWANDA,Fixed Voice,SIM Registration Issue,Email,SIM card registered under wrong national ID.,68,F,Resolved,21,2
RURA-ICT-00551,03-26-2023,Eastern Province,Rwamagana,AIRTEL,Mobile Data/Internet,Mobile Money Fraud/Scam,Web Portal,SIM card registered under wrong national ID.,81,F,open,,2
RURA-ICT-00313,27-Jan-2023,Northern Province,Burera,Broadband Systems Corporation,Mobile Voice,Poor Network Quality,Social Media,Customer reports repeated call drops in Burera.,26,F,pending ,,
RURA-ICT-00712,05-24-2023,Eastern Province,Kirehe,BSC,Mobile Voice,Customer Care Unresponsive,Call Center,Complainant charged twice for the same data bundle.,81,female,resolved,17,3
RURA-ICT-00613,24-Dec-2024,Eastern Province,Nyagatare,mtn rwanda,Fixed Voice,Mobile Money Transaction Failure,Web Portal,Internet speed far below advertised package.,61,Other,In Progress,8,5
RURA-ICT-00761,23-Aug-2024,Western Province,Nyamasheke,Airtel Rwanda,Fixed Voice,Service Activation Delay,Call Center,No network coverage since yesterday evening.,44,Female,Closed,4,2
RURA-ICT-00003,12-19-2023,Southern Province,Muhanga,airtel rwanda,Mobile Voice,Poor Network Quality,Social Media,SIM card registered under wrong national ID.,74,F,open,,4
RURA-ICT-00882,05/07/2024,Eastern Province,Bugesera,Liquid Telecom Rwanda,Fixed Internet,Poor Network Quality,Email,Delay of over a week in activating new fixed internet line.,55,F,Resolved,2,3
RURA-ICT-00517,16-Feb-2023,Kigali City,Nyarugenge,REG ICT,Fixed Internet,Mobile Money Transaction Failure,Social Media,Received unsolicited promotional SMS despite opt-out request.,27,Male,Resolved,18,3
RURA-ICT-00655,2024-05-30,Eastern Province,Nyagatre,Liquid Telecom Rwanda,Fixed Voice,Service Activation Delay,Call Center,Internet speed far below advertised package.,35,M,Resolved,12,1
RURA-ICT-00451,2023-11-07,Kigali City,Gasabo,MTN,Fixed Internet,Slow Internet Speed,Web Portal,No network coverage since yesterday evening.,82,Other,Resolved,6,
RURA-ICT-00897,05-04-2023,Northern Province,Rulindo,Airtel,Fixed Internet,Network Outage,USSD,Received unsolicited promotional SMS despite opt-out request.,29,female,Open,,5
RURA-ICT-00316,2023-11-07,Western Province,Rusizi,MTN RWANDA,Mobile Money,SIM Registration Issue,Social Media,No network coverage since yesterday evening.,,Male,closed,15,4
RURA-ICT-00130,03-28-2024,Eastern Province,Bugesera,Liquid Telecom Rwanda,Mobile Money,Network Outage,Email,SIM card registered under wrong national ID.,43,Female,open,,3
RURA-ICT-00722,26/08/2023,Kigali City,gasabo,Airtel Rwanda,Fixed Voice,Poor Network Quality,Social Media,SIM card registered under wrong national ID.,38,,Pending,,4
RURA-ICT-00796,04-Aug-2023,Eastern Province,Bugesera,Airtel Rwanda,SMS,Data Bundle Deduction Issue,Walk-in,Delay of over a week in activating new fixed internet line.,52,Female,pending ,,5
RURA-ICT-00050,03/09/2023,Southern Province,Huye,MTN,Fixed Voice,Mobile Money Transaction Failure,Email,No network coverage since yesterday evening.,36,M,open,,5
RURA-ICT-00859,15/11/2024,Southern Province,Nyaruguru,AIRTEL,Mobile Data/Internet,Billing Dispute,USSD,,30,Male,OPEN,,
RURA-ICT-00685,03/12/2023,Southern Province,Nyamagabe,airtel rwanda,Mobile Voice,Network Outage,Email,,57,Female,Open,,4
RURA-ICT-00357,30/12/2024,Northern Province,Rulindo,BSC,Fixed Internet,Network Outage,Walk-in,Delay of over a week in activating new fixed internet line.,27,male,Pending,,-1
RURA-ICT-00579,08/06/2023,Western Province,Rutsiro,Broadband Systems Corporation,Mobile Money,Billing Dispute,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,,female,Pending,,4
RURA-ICT-00541,19/12/2023,Western Province,Rutsiro,Airtel Rwanda,Mobile Data/Internet,Customer Care Unresponsive,USSD,Internet speed far below advertised package.,41,F,Open,,4
RURA-ICT-00811,20-May-2024,Northern Province,Burera,M.T.N Rwanda,Mobile Voice,Billing Dispute,Web Portal,Billed for services not subscribed to.,60,Other,OPEN,,2
RURA-ICT-00153,2024-10-19,Eastern Province,Kayonza,Liquid Telecom Rwanda,Mobile Data/Internet,Customer Care Unresponsive,Social Media,Received unsolicited promotional SMS despite opt-out request.,25,M,OPEN,,4
RURA-ICT-00547,04-Jun-2024,Western Province,Nyamasheke,airtel rwanda,Mobile Data/Internet,Network Outage,Web Portal,No network coverage since yesterday evening.,26,Other,closed,19,
RURA-ICT-00320,03/04/2023,Kigali City,Kicukiro,Liquid Telecom Rwanda,Fixed Voice,Unsolicited SMS/Spam,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,,Female,Open,,3
RURA-ICT-00664,16/09/2023,Southern Province,Nyaruguru,Broadband Systems Corporation,Mobile Voice,Mobile Money Transaction Failure,Call Center,Received suspicious SMS asking for mobile money PIN.,-5,male,resolved,9,4
RURA-ICT-00701,30-Apr-2024,Southern Province,Nyanza,Airtel,Mobile Money,Unsolicited SMS/Spam,Walk-in,Billed for services not subscribed to.,38,male,Open,,2
RURA-ICT-00052,08-05-2024,Northern Province,Burera,Liquid Telecom Rwanda,Mobile Voice,Network Outage,Walk-in,Delay of over a week in activating new fixed internet line.,75,male,closed,30,
RURA-ICT-00138,2023-09-11,Western Province,Nyamasheke,broadband systems,SMS,Unsolicited SMS/Spam,USSD,,83,female,Closed,18,
RURA-ICT-00476,11-Jan-2023,Northern Province,musanze,AIRTEL,Mobile Data/Internet,SIM Registration Issue,USSD,Complainant charged twice for the same data bundle.,57,,Pending,,4
RURA-ICT-00663,17/10/2024,Eastern Province,Rwamagana,Liquid Telecom,Mobile Voice,Customer Care Unresponsive,Walk-in,No network coverage since yesterday evening.,20,,Pending,,
RURA-ICT-00081,02-22-2023,Western Province,Rutsiro,liquid telecom,Mobile Voice,Data Bundle Deduction Issue,Email,,61,F,resolved,6,
RURA-ICT-00885,2023-10-28,Southern Province,Muhanga,liquid telecom,Mobile Money,Data Bundle Deduction Issue,Walk-in,Complainant charged twice for the same data bundle.,44,Other,resolved,7,3
RURA-ICT-00307,04/10/2023,Eastern Province,Ngoma,Broadband Systems Corporation,SMS,Billing Dispute,USSD,Complainant charged twice for the same data bundle.,64,Female,Closed,30,4
RURA-ICT-00898,10-Apr-2024,Western Province,Rusizi,MTN RWANDA,Mobile Data/Internet,Slow Internet Speed,Walk-in,SIM card registered under wrong national ID.,30,F,In Progress,11,
RURA-ICT-00338,09-Oct-2024,Southern Province,Nyaruguru,Broadband Systems Corporation,Mobile Data/Internet,Service Activation Delay,USSD,Billed for services not subscribed to.,,M,Open,,-1
RURA-ICT-00038,2023-01-20,Eastern Province,Ngoma,Liquid Telecom,Mobile Money,Data Bundle Deduction Issue,Email,Customer care line not answering after multiple attempts.,60,Female,open,,1
RURA-ICT-00335,12-07-2024,Northern Province,Gicumbi,mtn rwanda,Mobile Data/Internet,Mobile Money Transaction Failure,Email,,81,Male,Open,,
RURA-ICT-00797,2023-09-25,Western Province,Nyabihu,Liquid Telecom Rwanda,SMS,Mobile Money Transaction Failure,Email,Customer care line not answering after multiple attempts.,82,Male,Closed,14,3
RURA-ICT-00159,11-Apr-2023,Western Province,Nyamasheke,broadband systems,Mobile Data/Internet,Poor Network Quality,USSD,Customer reports repeated call drops in Nyamasheke.,25,female,Resolved,19,4
RURA-ICT-00445,31-May-2024,Northern Province,Burera,Liquid Telecom Rwanda,SMS,Network Outage,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,39,Other,open,,1
RURA-ICT-00092,2023-06-04,Kigali City,Kicukiro,,Mobile Data/Internet,SIM Registration Issue,USSD,Received unsolicited promotional SMS despite opt-out request.,59,F,Pending,,2
RURA-ICT-00619,25/06/2024,Northern Province,Rulindo,Liquid Telecom Rwanda,Mobile Voice,Data Bundle Deduction Issue,Social Media,Complainant charged twice for the same data bundle.,78,M,Closed,21,
RURA-ICT-00001,27-Aug-2024,Kigali City,Gasabo,Airtel,Mobile Data/Internet,Poor Network Quality,Web Portal,Complainant charged twice for the same data bundle.,,F,pending ,,
RURA-ICT-00486,08/06/2024,Northern Province,musanze,liquid telecom,SMS,Billing Dispute,Email,SIM card registered under wrong national ID.,65,Other,open,,
RURA-ICT-00515,2023-12-24,Southern Province,Gisagara,Airtel,Fixed Voice,Unsolicited SMS/Spam,Call Center,Received unsolicited promotional SMS despite opt-out request.,69,Other,open,,5
RURA-ICT-00462,23/10/2024,Eastern Province,Kirehe,Liquid Telecom Rwanda,Fixed Voice,Mobile Money Transaction Failure,Social Media,Received suspicious SMS asking for mobile money PIN.,46,,closed,4,
RURA-ICT-00275,05-28-2023,Northern Province,Gakenke,Airtel,Fixed Voice,Data Bundle Deduction Issue,USSD,Billed for services not subscribed to.,63,M,closed,17,
RURA-ICT-00016,23-Jul-2024,Northern Province,Rulindo,MTN RWANDA,Mobile Money,Unsolicited SMS/Spam,Email,,53,Female,resolved,18,1
RURA-ICT-00258,2024-02-24,Western Province,Rutsiro,liquid telecom,Mobile Voice,Network Outage,Walk-in,No network coverage since yesterday evening.,41,Female,Pending,,
RURA-ICT-00218,14/08/2024,Northern Province,Rulindo,BSC,Mobile Money,Customer Care Unresponsive,Social Media,Customer care line not answering after multiple attempts.,25,M,open,,
RURA-ICT-00094,25/03/2023,Kigali City,Nyarugenge,BSC,Mobile Money,Service Activation Delay,USSD,SIM card registered under wrong national ID.,55,,OPEN,,
RURA-ICT-00558,02-28-2023,Eastern Province,Ngoma,Airtel,Mobile Money,Service Activation Delay,USSD,Customer care line not answering after multiple attempts.,37,female,open,,4
RURA-ICT-00183,11-11-2024,Eastern Province,Kirehe,liquid telecom,Mobile Voice,Poor Network Quality,Web Portal,Billed for services not subscribed to.,84,,Pending,,
RURA-ICT-00142,10-31-2024,Eastern Province,Bugesera,BSC,Mobile Voice,Service Activation Delay,Web Portal,No network coverage since yesterday evening.,84,,pending ,,2
RURA-ICT-00493,2023-04-25,Southern Province,Nyamagabe,BSC,Mobile Voice,Billing Dispute,Walk-in,Mobile money transfer deducted but recipient did not receive funds.,40,M,Open,,
RURA-ICT-00733,10-May-2023,Western Province,Rutsiro,MTN Rwanda,Fixed Voice,Mobile Money Transaction Failure,Call Center,Customer reports repeated call drops in Rutsiro.,21,female,open,,2
RURA-ICT-00705,26-Nov-2024,Southern Province,Kamonyi,MTN,Fixed Internet,Service Activation Delay,Call Center,Billed for services not subscribed to.,83,Male,closed,21,3
RURA-ICT-00495,2024-02-06,Eastern Province,Kirehe,MTN RWANDA,SMS,Mobile Money Transaction Failure,Walk-in,Delay of over a week in activating new fixed internet line.,29,,closed,27,5
RURA-ICT-00741,05-08-2023,Kigali City,Nyarugenge,Liquid Telecom,Mobile Money,Service Activation Delay,Email,Customer reports repeated call drops in Nyarugenge.,57,male,In Progress,14,4
RURA-ICT-00591,15-Jul-2024,Western Province,Rutsiro,REG-ICT,Mobile Data/Internet,Unsolicited SMS/Spam,Call Center,Billed for services not subscribed to.,73,F,closed,17,
RURA-ICT-00654,02-19-2023,Northern Province,Gicumbi,M.T.N Rwanda,SMS,Network Outage,USSD,Customer reports repeated call drops in Gicumbi.,150,M,Pending,,3
RURA-ICT-00574,02-29-2024,Western Province,Karongi,Liquid Telecom Rwanda,Mobile Money,SIM Registration Issue,Web Portal,Received unsolicited promotional SMS despite opt-out request.,45,female,Open,,2
RURA-ICT-00557,09-Sep-2024,Southern Province,Nyanza,Airtel Rwanda,Fixed Voice,Customer Care Unresponsive,Walk-in,,,Female,Open,,
RURA-ICT-00806,07/03/2024,Eastern Province,Kayonza,Liquid Telecom,Fixed Internet,Service Activation Delay,Social Media,Received suspicious SMS asking for mobile money PIN.,82,F,Open,,1
RURA-ICT-00689,2024-09-19,Southern Province,Gisagara,Liquid Telecom,Fixed Internet,Poor Network Quality,USSD,Customer care line not answering after multiple attempts.,74,Other,Resolved,30,3
RURA-ICT-00400,2023-09-23,Northern Province,Gakenke,Broadband Systems Corporation,SMS,Service Activation Delay,Call Center,,,F,Pending,,3
RURA-ICT-00262,10-25-2023,Southern Province,Nyamagabe,,Mobile Data/Internet,Mobile Money Transaction Failure,Walk-in,,32,Male,In Progress,22,1
RURA-ICT-00284,2024-08-24,Southern Province,Gisagara,,SMS,Billing Dispute,Social Media,SIM card registered under wrong national ID.,64,Female,resolved,11,3
RURA-ICT-00807,29-Jan-2024,Southern Province,Nyanza,Broadband Systems Corporation,Mobile Data/Internet,SIM Registration Issue,Walk-in,Received unsolicited promotional SMS despite opt-out request.,,,In Progress,1,6
RURA-ICT-00484,29-Sep-2024,Eastern Province,Kirehe,liquid telecom,Fixed Voice,Network Outage,Email,Billed for services not subscribed to.,32,Female,Open,,3
RURA-ICT-00418,2024-07-25,Western Province,Karongi,broadband systems,Mobile Voice,Unsolicited SMS/Spam,Social Media,Complainant charged twice for the same data bundle.,68,Female,Closed,9,
RURA-ICT-00128,07-13-2024,Southern Province,Ruhango,REG ICT,Mobile Money,Billing Dispute,Social Media,SIM card registered under wrong national ID.,49,Other,pending ,,
RURA-ICT-00858,2024-04-26,Northern Province,Burera,REG-ICT,Mobile Data/Internet,Customer Care Unresponsive,Walk-in,,,Female,OPEN,,3
RURA-ICT-00118,08-Sep-2023,Western Province,Ngororero,MTN RWANDA,Fixed Voice,Customer Care Unresponsive,Email,Customer care line not answering after multiple attempts.,25,M,closed,13,2
RURA-ICT-00776,02/10/2023,Southern Province,Nyamagabe,Airtel Rwanda,Mobile Money,Slow Internet Speed,USSD,Customer reports repeated call drops in Nyamagabe.,78,Other,resolved,20,
RURA-ICT-00651,18-Jun-2024,Western Province,Rutsiro,liquid telecom,Mobile Data/Internet,Data Bundle Deduction Issue,Walk-in,Complainant charged twice for the same data bundle.,32,Female,closed,1,
RURA-ICT-00630,11-Mar-2023,Kigali City,GASABO,REG ICT,Mobile Money,Unsolicited SMS/Spam,Web Portal,Internet speed far below advertised package.,80,M,open,,
RURA-ICT-00170,29/04/2023,Western Province,Rusizi,Liquid Telecom Rwanda,Fixed Internet,Poor Network Quality,Email,Complainant charged twice for the same data bundle.,59,Other,resolved,16,4
RURA-ICT-00863,11/06/2024,Southern Province,Nyanza,BSC,Fixed Voice,Slow Internet Speed,Walk-in,Mobile money transfer deducted but recipient did not receive funds.,34,Female,OPEN,,1
RURA-ICT-00144,2024-08-31,Kigali City,Gasabo,broadband systems,Mobile Voice,Mobile Money Transaction Failure,Walk-in,Complainant charged twice for the same data bundle.,22,Female,open,,4
RURA-ICT-00492,14/01/2023,Western Province,Nyamasheke,MTN RWANDA,SMS,Network Outage,Call Center,Complainant charged twice for the same data bundle.,74,,resolved,30,4
RURA-ICT-00386,10-Apr-2024,Kigali City,Gasabo,BSC,Fixed Voice,Slow Internet Speed,Social Media,No network coverage since yesterday evening.,73,,In Progress,5,1
RURA-ICT-00900,05-14-2024,Southern Province,Nyaruguru,MTN RWANDA,Fixed Internet,Data Bundle Deduction Issue,Email,,66,M,Closed,14,
RURA-ICT-00645,02-28-2024,Northern Province,Burera,BSC,Mobile Money,Unsolicited SMS/Spam,Social Media,,47,,Pending,,4
RURA-ICT-00545,08-04-2023,Kigali City,Gasabo,MTN Rwanda,Fixed Voice,Billing Dispute,Social Media,SIM card registered under wrong national ID.,63,female,open,,5
RURA-ICT-00127,27/02/2024,Western Province,Ngororero,MTN,Mobile Voice,Unsolicited SMS/Spam,Email,No network coverage since yesterday evening.,76,M,resolved,16,
RURA-ICT-00828,27-Dec-2024,Northern Province,Burera,Broadband Systems Corporation,Mobile Money,Poor Network Quality,Email,Customer care line not answering after multiple attempts.,49,female,open,,
RURA-ICT-00296,2024-09-03,Kigali City,Nyarugenge,BSC,SMS,Service Activation Delay,USSD,,38,Other,closed,6,5
RURA-ICT-00690,2023-06-24,Western Province,Rubavu,MTN,Mobile Voice,SIM Registration Issue,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,63,M,resolved,27,
RURA-ICT-00524,22-Jul-2024,Western Province,Rusizi,airtel rwanda,SMS,Billing Dispute,Walk-in,Internet speed far below advertised package.,,Other,pending ,,5
RURA-ICT-00424,02/03/2024,Kigali City,Gasabo,AIRTEL,Mobile Data/Internet,Mobile Money Transaction Failure,USSD,Received suspicious SMS asking for mobile money PIN.,69,Other,Open,,1
RURA-ICT-00527,10/01/2023,Western Province,Nyamasheke,MTN,Fixed Voice,Network Outage,USSD,Customer reports repeated call drops in Nyamasheke.,78,,Pending,,1
RURA-ICT-00799,21-Mar-2024,Western Province,Rusizi,MTN RWANDA,SMS,Unsolicited SMS/Spam,USSD,,47,male,In Progress,19,4
RURA-ICT-00693,2023-03-21,Southern Province,Nyanza,liquid telecom,Mobile Data/Internet,Service Activation Delay,Web Portal,,23,Female,Closed,-2,4
RURA-ICT-00861,24/12/2023,Western Province,Karongi,,SMS,Billing Dispute,Walk-in,Customer reports repeated call drops in Karongi.,-5,F,open,,4
RURA-ICT-00192,2024-08-24,Western Province,Karongi,liquid telecom,Fixed Voice,Billing Dispute,Social Media,Customer reports repeated call drops in Karongi.,,Female,open,,
RURA-ICT-00623,09-Jan-2023,Southern Province,Huye,Airtel Rwanda,Fixed Voice,SIM Registration Issue,Social Media,,52,Other,In Progress,13,
RURA-ICT-00893,02-Dec-2024,Eastern Province,Gatsibo,mtn rwanda,Mobile Voice,Poor Network Quality,Social Media,,64,Other,In Progress,10,
RURA-ICT-00434,29-Jun-2023,Southern Province,Nyanza,REG ICT,Mobile Voice,Network Outage,Social Media,Internet speed far below advertised package.,33,Female,closed,12,
RURA-ICT-00529,10-02-2024,Kigali City,Gasabo,liquid telecom,Fixed Voice,SIM Registration Issue,Walk-in,Delay of over a week in activating new fixed internet line.,44,Female,open,,3
RURA-ICT-00063,02-27-2023,Kigali City,Nyarugenge,MTN RWANDA,Mobile Data/Internet,Mobile Money Fraud/Scam,Call Center,SIM card registered under wrong national ID.,71,Male,Open,,
RURA-ICT-00220,12-14-2024,Western Province,Karongi,Airtel Rwanda,Mobile Voice,SIM Registration Issue,Walk-in,Internet speed far below advertised package.,54,Female,Closed,12,4
RURA-ICT-00520,08/07/2024,Eastern Province,Rwamagana,REG ICT,Fixed Internet,Mobile Money Fraud/Scam,Call Center,Complainant charged twice for the same data bundle.,39,male,open,,2
RURA-ICT-00592,15/10/2023,Northern Province,Burera,MTN Rwanda,Fixed Internet,Network Outage,Walk-in,Internet speed far below advertised package.,76,F,Resolved,29,4
RURA-ICT-00467,01-12-2024,Southern Province,Nyaruguru,broadband systems,Mobile Data/Internet,Mobile Money Fraud/Scam,Walk-in,Customer care line not answering after multiple attempts.,,M,Resolved,21,1
RURA-ICT-00528,01/02/2024,Western Province,Rubavu,broadband systems,Mobile Voice,SIM Registration Issue,Social Media,SIM card registered under wrong national ID.,17,F,In Progress,29,
RURA-ICT-00411,24/02/2023,Western Province,Rubavu,,Mobile Data/Internet,Unsolicited SMS/Spam,Web Portal,Received suspicious SMS asking for mobile money PIN.,35,Other,Closed,5,1
RURA-ICT-00683,08-03-2024,Eastern Province,Nyagatare,liquid telecom,Mobile Voice,Slow Internet Speed,Social Media,Mobile money transfer deducted but recipient did not receive funds.,24,Other,resolved,1,3
RURA-ICT-00755,01-Nov-2023,Eastern Province,Ngoma,Broadband Systems Corporation,SMS,Slow Internet Speed,Email,Mobile money transfer deducted but recipient did not receive funds.,82,,open,,
RURA-ICT-00111,27/01/2023,Northern Province,Gakenke,Liquid Telecom,Mobile Money,Service Activation Delay,Email,Complainant charged twice for the same data bundle.,65,F,Closed,8,2
RURA-ICT-00508,06-17-2024,Southern Province,Nyaruguru,airtel rwanda,Mobile Data/Internet,Poor Network Quality,USSD,Received suspicious SMS asking for mobile money PIN.,36,M,pending ,,
RURA-ICT-00266,04/04/2024,Northern Province,Gicumbi,,Fixed Voice,Slow Internet Speed,Walk-in,Received suspicious SMS asking for mobile money PIN.,25,Male,Closed,23,4
